C4d_2015-test
aeg, juhtivus
 454, 119688
 455, 119746
 456, 119688
 457, 119720
 458, 119702
 459, 119757
 460, 119694
 461, 119669
 462, 119706
 463, 119707
 464, 119691
 465, 119677
 466, 119693
 467, 119697
 468, 119691
 469, 119717
 470, 119671
 471, 119683
 472, 119677
 473, 119659
 474, 119668
 475, 119656
 476, 119663
 477, 119703
 478, 119612
 479, 119677
 480, 119618
 481, 119682
 482, 119651
 483, 119660
 484, 119629
 485, 119644
 486, 119627
 487, 119647
 488, 119668
 489, 119673
 490, 119618
 491, 119618
 492, 119612
 493, 119625
 494, 119626
 495, 119612
 496, 119652
 497, 119636
 498, 119644
 499, 119600
 500, 119613
 501, 119607
 502, 119629
 503, 119603
 504, 119627
 505, 119566
 506, 119629
 507, 119613
 508, 119611
 509, 119580
 510, 119605
 511, 119555
 512, 119615
 513, 119595
 514, 119614
 515, 119599
 516, 119602
 517, 119561
 518, 119599
 519, 119590
 520, 119592
 521, 119570
 522, 119572
 523, 119582
 524, 119585
 525, 119563
 526, 119558
 527, 119533
 528, 119561
 529, 119556
 530, 119577
 531, 119532
 532, 119551
 533, 119536
 534, 119543
 535, 119505
 536, 119565
 537, 119527
 538, 119530
 539, 119498
 540, 119532
 541, 119502
 542, 119505
 543, 119510
 544, 119524
 545, 119530
 546, 119450
 547, 119494
 548, 119504
 549, 119518
 550, 119519
 551, 119517
 552, 119459
 553, 119497
 554, 119494
 555, 119495
 556, 119463
 557, 119519
 558, 119489
 559, 119517
 560, 119487
 561, 119513
 562, 119460
 563, 119512
 564, 119472
 565, 119440
 566, 119437
 567, 119489
 568, 119442
 569, 119463
 570, 119417
 571, 119484
 572, 119437
 573, 119450
 574, 119481
 575, 119462
 576, 119439
 577, 119463
 578, 119414
 579, 119471
 580, 119428
 581, 119429
 582, 119415
 583, 119452
 584, 119390
 585, 119422
 586, 119449
 587, 119393
 588, 119426
 589, 119392
 590, 119453
 591, 119398
 592, 119440
 593, 119397
 594, 119424
 595, 119359
 596, 119416
 597, 119364
 598, 119416
 599, 119417
 600, 119436
 601, 119410
 602, 119387
 603, 119385
 604, 119438
 605, 119378
 606, 119401
 607, 119400
 608, 119415
 609, 119365
 610, 119354
 611, 119370
 612, 119371
 613, 119339
 614, 119379
 615, 119336
 616, 119389
 617, 119351
 618, 119400
 619, 119333
 620, 119376
 621, 119359
 622, 119355
 623, 119325
 624, 119365
 625, 119371
 626, 119409
 627, 119311
 628, 119357
 629, 119295
 630, 119328
 631, 119307
 632, 119338
 633, 119302
 634, 119317
 635, 119314
 636, 119340
 637, 119315
 638, 119342
 639, 119289
 640, 119340
 641, 119288
 642, 119301
 643, 119275
 644, 119343
 645, 119283
 646, 119318
 647, 119282
 648, 119300
 649, 119288
 650, 119346
 651, 119244
 652, 119283
 653, 119286
 654, 119302
 655, 119275
 656, 119269
 657, 119258
 658, 119315
 659, 119244
 660, 119298
 661, 119272
 662, 119251
 663, 119262
 664, 119301
 665, 119247
 666, 119278
 667, 119257
 668, 119251
 669, 119248
 670, 119248
 671, 119254
 672, 119251
 673, 119250
 674, 119207
 675, 119247
 676, 119215
 677, 119254
 678, 119223
 679, 119228
 680, 119271
 681, 119175
 682, 119228
 683, 119212
 684, 119239
 685, 119221
 686, 119222
 687, 119194
 688, 119194
 689, 119146
 690, 119213
 691, 119173
 692, 119202
 693, 119172
 694, 119213
 695, 119207
 696, 119165
 697, 119195
 698, 119186
 699, 119206
 700, 119155
 701, 119169
 702, 119179
 703, 119176
 704, 119183
 705, 119107
 706, 119186
 707, 119156
 708, 119193
 709, 119156
 710, 119140
 711, 119133
 712, 119173
 713, 119136
 714, 119170
 715, 119131
 716, 119145
 717, 119118
 718, 119171
 719, 119146
 720, 119165
 721, 119149
 722, 119146
 723, 119103
 724, 119158
 725, 119091
 726, 119137
 727, 119129
 728, 119162
 729, 119091
 730, 119142
 731, 119111
 732, 119116
 733, 119084
 734, 119128
 735, 119105
 736, 119132
 737, 119108
 738, 119089
 739, 119066
 740, 119133
 741, 119091
 742, 119089
 743, 119046
 744, 119105
 745, 119083
 746, 119087
 747, 119079
 748, 119095
 749, 119043
 750, 119095
 751, 119047
 752, 119063
 753, 119053
 754, 119087
 755, 119027
 756, 119092
 757, 119071
 758, 119063
 759, 119035
 760, 119061
 761, 119039
 762, 119044
 763, 119037
 764, 119041
 765, 119021
 766, 119062
 767, 119061
 768, 119017
 769, 119054
 770, 118987
 771, 119060
 772, 119025
 773, 119047
 774, 118980
 775, 119066
 776, 118998
 777, 119033
 778, 118977
 779, 119008
 780, 119010
 781, 118989
 782, 118982
 783, 118994
 784, 118978
 785, 119021
 786, 118976
 787, 118977
 788, 118964
 789, 118996
 790, 118989
 791, 118975
 792, 118978
 793, 118992
 794, 118968
 795, 119003
 796, 118986
 797, 118987
 798, 118973
 799, 118989
 800, 118951
 801, 119003
 802, 118937
 803, 119003
 804, 118960
 805, 118976
 806, 118950
 807, 118988
 808, 118961
 809, 118959
 810, 118961
 811, 118941
 812, 118919
 813, 118902
 814, 118950
 815, 118919
 816, 118943
 817, 118932
 818, 118934
 819, 118933
 820, 118948
 821, 118929
 822, 118921
 823, 118908
 824, 118905
 825, 118868
 826, 118963
 827, 118878
 828, 118929
 829, 118873
 830, 118949
 831, 118872
 832, 118911
 833, 118855
 834, 118934
 835, 118887
 836, 118916
 837, 118886
 838, 118880
 839, 118876
 840, 118884
 841, 118876
 842, 118894
 843, 118847
 844, 118903
 845, 118851
 846, 118876
 847, 118856
 848, 118897
 849, 118880
 850, 118878
 851, 118861
 852, 118862
 853, 118915
 854, 118826
 855, 118858
 856, 118833
 857, 118838
 858, 118844
 859, 118849
 860, 118781
 861, 118866
 862, 118796
 863, 118868
 864, 118794
 865, 118844
 866, 118795
 867, 118851
 868, 118770
 869, 118811
 870, 118821
 871, 118832
 872, 118798
 873, 118825
 874, 118777
 875, 118829
 876, 118817
 877, 118806
 878, 118775
 879, 118800
 880, 118757
 881, 118800
 882, 118763
 883, 118811
 884, 118770
 885, 118773
 886, 118745
 887, 118765
 888, 118752
 889, 118767
 890, 118759
 891, 118805
 892, 118737
 893, 118789
 894, 118749
 895, 118756
 896, 118767
 897, 118749
 898, 118742
 899, 118759
 900, 118764
 901, 118773
 902, 118725
 903, 118771
 904, 118779
 905, 118723
 906, 118757
 907, 118721
 908, 118765
 909, 118726
 910, 118736
 911, 118740
 912, 118715
 913, 118665
 914, 118753
 915, 118707
 916, 118716
 917, 118688
 918, 118718
 919, 118691
 920, 118711
 921, 118696
 922, 118704
 923, 118689
 924, 118724
 925, 118669
 926, 118702
 927, 118694
 928, 118747
 929, 118689
 930, 118709
 931, 118650
 932, 118697
 933, 118673
 934, 118689
 935, 118681
 936, 118657
 937, 118654
 938, 118671
 939, 118666
 940, 118682
 941, 118656
 942, 118687
 943, 118630
 944, 118642
 945, 118654
 946, 118664
 947, 118655
 948, 118639
 949, 118632
 950, 118611
 951, 118668
 952, 118625
 953, 118664
 954, 118679
 955, 118686
 956, 118615
 957, 118631
 958, 118601
 959, 118633
 960, 118598
 961, 118624
 962, 118626
 963, 118612
 964, 118590
 965, 118632
 966, 118591
 967, 118623
 968, 118565
 969, 118611
 970, 118580
 971, 118595
 972, 118594
 973, 118593
 974, 118574
 975, 118588
 976, 118557
 977, 118586
 978, 118579
 979, 118589
 980, 118566
 981, 118595
 982, 118557
 983, 118584
 984, 118555
 985, 118577
 986, 118541
 987, 118561
 988, 118558
 989, 118588
 990, 118556
 991, 118542
 992, 118561
 993, 118579
 994, 118516
 995, 118568
 996, 118541
 997, 118586
 998, 118532
 999, 118546
 1000, 118540
 1001, 118550
 1002, 118529
 1003, 118535
 1004, 118508
 1005, 118521
 1006, 118519
 1007, 118523
 1008, 118521
 1009, 118531
 1010, 118505
 1011, 118528
 1012, 118522
 1013, 118539
 1014, 118487
 1015, 118529
 1016, 118499
 1017, 118550
 1018, 118490
 1019, 118532
 1020, 118507
 1021, 118494
 1022, 118517
 1023, 118503
 1024, 118464
 1025, 118475
 1026, 118442
 1027, 118465
 1028, 118473
 1029, 118485
 1030, 118498
 1031, 118501
 1032, 118433
 1033, 118504
 1034, 118445
 1035, 118435
 1036, 118505
 1037, 118442
 1038, 118466
 1039, 118444
 1040, 118472
 1041, 118461
 1042, 118428
 1043, 118464
 1044, 118439
 1045, 118454
 1046, 118453
